mes,temperatura_media_compensada,temperatura_max_media,temperatura_min_media,precipitacao,umidade_relativa_ar_media
Jan,23.208207,29.073054,18.69213,160.356875,75.145776
Fev,23.012297,28.925427,18.653996,137.077987,76.578388
Mar,21.334812,27.336853,17.017875,125,77.308543
Abr,18.859711,25.007636,14.619638,115.094937,77.392647
Mai,15.096501,20.640476,11.340572,134.567516,81.779247
Jun,12.937752,18.298767,9.22409,128.963871,82.249507
Jul,12.575705,18.288363,8.597769,147.538462,80.009581
Ago,14.35192,20.386228,10.018904,129.312821,77.815276
Set,16.093287,21.748487,11.850227,170.451592,77.925858
Out,18.155952,23.862533,13.715229,191.714744,76.240347
Nov,20.45606,26.663416,15.405878,128.381132,71.067098
Dez,22.491443,28.696272,17.478299,132.513125,71.498665
