Country Name,GDP
Luxemburgo,115094.35131403687
Noruega,85773.1485068249
Suíça,82320.49626578596
Ilhas Cayman,81572.00212969976
Ilha de Man,78717.71870554681
Catar,72865.36206994238
Irlanda,64844.2691170297
Dinamarca,59910.14473048247
Austrália,55453.0433720568
Cingapura,55296.2125939062
Suécia,55153.78189485984
Áustria,49155.5707335932
Finlândia,48652.23261243337
Canadá,47163.82902463005
Bélgica,45755.92170328565
Emirados Arabes Unidos,42167.32312583138
França,41142.63461434586
Nova Zelândia,39309.11746876709
Nova Caledônia,36329.07132841569
Itália,35091.95450616737
